n_steps_src,n_steps_trg,id,org_opp,nllik,match
3,2,c0d6f703,opp,0.8582413966233308,0.4926526526526527
3,2,38583217,org,0.602333664894104,0.68
3,2,38583217,opp,0.4935733279785714,0.6645645645645647
3,2,93479d89,org,0.7079331874847412,0.54
3,2,93479d89,opp,0.7879983099015268,0.5165165165165165
3,2,b074f182,org,0.5663301944732666,0.66
3,2,b074f182,opp,0.6370379374072597,0.6045645645645645
3,2,b12bd8d8,org,0.7353793978691101,0.53
3,2,b12bd8d8,opp,0.6534353920647332,0.5805705705705706
3,2,55747449,org,0.7160081267356873,0.56
3,2,55747449,opp,0.7357474119216949,0.5547347347347348
3,2,4c61c212,org,0.6907653212547302,0.38
3,2,4c61c212,opp,0.8326475208586043,0.5076676676676677
3,2,0b3a1f48,org,0.6332578063011169,0.53
3,2,0b3a1f48,opp,0.5641125388092942,0.6349249249249249
3,2,ebfe21f8,org,0.3659136891365051,0.73
3,2,ebfe21f8,opp,0.47503157823651404,0.6734234234234234
3,2,8bd6aae2,org,0.4806998372077942,0.67
3,2,8bd6aae2,opp,0.578396489133348,0.6084584584584584
3,2,f5cdf627,org,0.6383838057518005,0.49
3,2,f5cdf627,opp,0.7012738979256546,0.5796896896896897
3,2,ca18f9b3,org,0.3070647120475769,0.74
3,2,ca18f9b3,opp,0.481721235288156,0.6629529529529529
3,2,8c1d7609,org,0.4343699514865875,0.68
3,2,8c1d7609,opp,0.5527334919383934,0.6267367367367368
3,2,550e8aa5,org,0.7161279320716858,0.48
3,2,550e8aa5,opp,0.8217007725446431,0.5133533533533534
3,2,52c2cbe6,org,0.6829866766929626,0.52
3,2,52c2cbe6,opp,0.5902338350141371,0.6269169169169169
3,2,d9c0fb81,org,0.6012864708900452,0.55
3,2,d9c0fb81,opp,0.5644577823363028,0.6423123123123122
3,2,f5d2d3d3,org,0.5646672248840332,0.64
3,2,f5d2d3d3,opp,0.6230587369806178,0.5897897897897898
3,2,600762d6,org,0.7937631011009216,0.54
3,2,600762d6,opp,0.6296565589365419,0.5912712712712713
3,2,4197a1a1,org,0.6740036606788635,0.53
3,2,4197a1a1,opp,0.7090040709044005,0.565995995995996
3,2,ec4715ef,org,0.674502432346344,0.52
3,2,ec4715ef,opp,0.7845290260271983,0.541921921921922
3,2,5ead6b71,org,0.9209502935409546,0.58
3,2,5ead6b71,opp,0.7356409400671691,0.559029029029029
3,2,0120542a,org,0.5579438209533691,0.67
3,2,0120542a,opp,0.602295199672023,0.6061161161161162
3,2,ea97fcad,org,0.5150519013404846,0.67
3,2,ea97fcad,opp,0.5731176425804486,0.6244444444444444
3,2,a6e9e03b,org,0.6994950175285339,0.59
3,2,a6e9e03b,opp,0.822249122389086,0.4935235235235235
3,2,f1779bb3,org,0.4986368417739868,0.69
3,2,f1779bb3,opp,0.5143279252169249,0.6594294294294294
3,2,1d691013,org,0.6900917291641235,0.57
3,2,1d691013,opp,0.6768553413905658,0.5558558558558558
