id,agent,n_steps_src,n_steps_trg,nllik_org,nllik_opp
60fc60249c2c3912c3b084af,60.0,1,1,0.5364767909049988,0.5848527550697327
66d0a027b8886581c95f2768,61.0,1,1,0.5843552350997925,0.5615665316581726
5d65e31c367c8600019f2b13,62.0,1,1,0.2901551723480224,0.5618484616279602
612512862963825fa66941bf,64.0,1,1,0.6644458174705505,0.5770775675773621
65fd910b6214e647ea9c6175,65.0,1,1,0.5188764333724976,0.6062715649604797
60e20b0026ccfc52c0877202,66.0,1,1,0.6977646350860596,0.6191479563713074
65dc9f26bed0f87772f68eed,68.0,1,1,0.159629076719284,0.8534232974052429
5e39cf6d0331aa07667a58ae,69.0,1,1,0.5361077189445496,0.5557178854942322
65ab079fde17d72bca5e774b,70.0,1,1,0.3720198571681976,0.5742073655128479
5d7957036797da0019537ad1,71.0,1,1,0.6833980083465576,0.5743922591209412
5f1f459122764312bfbe265e,73.0,1,1,0.4645461142063141,0.6140468120574951
6500c323c1cfec3960e2b000,74.0,1,1,0.5167195796966553,0.5683136582374573
5e7414b9929931398ae59f02,76.0,1,1,0.5857361555099487,0.5579533576965332
66b616b0db06f7953a7c1e1f,77.0,1,1,0.3889599442481994,0.5592256188392639
60db30cbbbee552378774e50,78.0,1,1,0.6774250268936157,0.5889885425567627
66ce71d5f8614777651a8931,79.0,1,1,0.6561743021011353,0.5550773739814758
66cf21fac640537abe16a607,80.0,1,1,0.7083284258842468,0.5827836990356445
60ce038ef5cec7f1cb716182,81.0,1,1,0.7087376713752747,0.5973350405693054
5dd6023dcaee3e5b7ba7a5bc,83.0,1,1,0.2369815111160278,0.7325209379196167
603e8ed1b54e6cf4fafcaa1a,84.0,1,1,0.572798490524292,0.5706742405891418
61267b828ead584bcf092e35,86.0,1,1,0.3272501230239868,0.6144479513168335
5faacca24cd0384c1fa08be1,87.0,1,1,0.6702688336372375,0.5740527510643005
65391353897d68dd53a067da,88.0,1,1,0.4507036209106445,0.5844560861587524
6630ec3fa1752b4b2743c4cc,89.0,1,1,0.4967240989208221,0.7309713363647461
612f7826436df8fb008c4f0d,90.0,1,1,0.6747448444366455,0.5759720802307129
66378dbfb9c884b35b7c3c09,92.0,1,1,0.6673313975334167,0.5587912797927856
5d612ae16512d700159face7,93.0,1,1,0.5397249460220337,0.5601158738136292
66c34db91daa2cac0b579ee5,94.0,1,1,0.5127279758453369,0.5678251385688782
66559244530907c5dd7b77be,95.0,1,1,0.6364123225212097,0.5543999671936035
60ebfc77adae0f59618d6471,96.0,1,1,0.4953913390636444,0.5795307755470276
5ee9193db78df9119fe4f7c1,97.0,1,1,0.4883562326431274,0.566678524017334
64e7533f36d388e8b31d3309,4.0,1,1,0.4946246743202209,0.7333945035934448
6646052f36c0bd14aafa0f0f,7.0,1,1,0.6054053902626038,0.6192330121994019
607ec7379eac7be04ab448e3,15.0,1,1,0.6621906757354736,0.5512763857841492
5e13ff1b94d5eea33e200fce,20.0,1,1,0.4622556567192077,0.5447447896003723
6006ae13a40ec00348555219,22.0,1,1,0.804269552230835,0.7408518195152283
6692d088fc492a0498191caf,31.0,1,1,0.4767255187034607,0.545765221118927
61190367632a534f9e11b013,34.0,1,1,0.616477370262146,0.5308510661125183
666b0a3508c2f3faa9cd0057,37.0,1,1,0.4571449160575866,0.5430663228034973
66d9ae66f6f721f4db56007c,39.0,1,1,0.3375946581363678,0.5461716055870056
66159b3aa54492fae356f2d1,40.0,1,1,0.4401182532310486,0.7609971165657043
5f4469a101c96e20702a9ece,43.0,1,1,0.3256025612354278,0.772649884223938
66aa651e21c9af8ebcd8081e,47.0,1,1,0.604388415813446,0.5219212174415588
5ed9c3054268815691ed0e2c,49.0,1,1,0.2843591272830963,0.5727484226226807
5e9fd839311b8018f88c99eb,63.0,1,1,0.7671319842338562,0.6920920610427856
66715c98b42ef93f2389ce3f,67.0,1,1,0.6052713990211487,0.5376080274581909
