id,n_steps_src,n_steps_trg,nllik_org,nllik_opp,match_org,match_opp
81de3d24,3,2,0.7258777022361755,0.7715626180589616,0.43,0.5229629629629624
0e2dd347,3,2,0.7958235144615173,0.8853006220913984,0.56,0.5040340340340348
99fb3906,3,2,0.3309747278690338,0.40923043172638696,0.75,0.7080380380380369
c9e51c93,3,2,0.6229814291000366,0.6353072504978161,0.65,0.5965565565565565
0380c1b9,3,2,0.6212236881256104,0.5707153009700107,0.48,0.6190690690690678
10540c59,3,2,0.5608659386634827,0.55828353365859,0.63,0.6271571571571575
022317f1,3,2,0.5105285048484802,0.5550596391832506,0.63,0.6383983983983981
ac283ffd,3,2,0.16064922511577606,0.2674855387902952,0.91,0.7975275275275278
92303408,3,2,0.40335819125175476,0.5089279600270875,0.69,0.6518018018018018
6723c71f,3,2,0.5034313797950745,0.5830137572429321,0.64,0.6158358358358358
287ae86d,3,2,0.6775057315826416,0.6878321155294165,0.64,0.5683083083083078
7cc854c5,3,2,0.9704105854034424,0.8617868161535597,0.5,0.5073873873873876
a82a2e16,3,2,0.33536583185195923,0.43498433089709737,0.8,0.6944344344344334
7708a8e5,3,2,0.4168511629104614,0.47084441261964516,0.67,0.6779879879879889
f09bf307,3,2,0.2810751497745514,0.416647051607405,0.74,0.7086386386386364
c2f4e8e0,3,2,0.37344881892204285,0.4365847517658879,0.82,0.6975475475475479
426159df,3,2,0.4074704051017761,0.41890328898802176,0.69,0.705145145145144
1d6bf585,3,2,0.8824471235275269,0.7977707823356232,0.51,0.5333133133133126
19961177,3,2,0.7468705773353577,0.6294219003425346,0.45,0.5964264264264274
b6561610,3,2,0.37800148129463196,0.43755987373080935,0.73,0.6946046046046055
13a97da9,3,2,0.6111499071121216,0.49083257971463856,0.56,0.6818618618618618
40d6be9e,3,2,0.7867072224617004,0.786351888805061,0.56,0.5334734734734727
4f20737e,3,2,0.5463113784790039,0.5796699878331777,0.62,0.6105205205205202
c169c000,3,2,0.5667075514793396,0.5752388968601361,0.64,0.6290990990990983
f3d7d5c9,3,2,0.6194406747817993,0.5935490620028865,0.66,0.622032032032032
95d154d4,3,2,0.4321005344390869,0.3435272840676723,0.61,0.7544544544544538
4b12dc8d,3,2,0.4999309182167053,0.5470779375271039,0.73,0.6361061061061057
bf30e63a,3,2,0.8070457577705383,0.681208448963719,0.56,0.573013013013012
de3b3454,3,2,0.616581916809082,0.659429100123015,0.57,0.5697197197197189
a9fcb868,3,2,0.6063885688781738,0.6402608050001753,0.62,0.5909509509509508
875ae746,3,2,0.6025776863098145,0.6265308262707593,0.65,0.6183183183183178
5c7b2507,3,2,0.7041076421737671,0.8288059429721432,0.43,0.5096696696696693
3df8b915,3,2,0.5279342532157898,0.420654308270883,0.55,0.7097297297297291
dc5ff55b,3,2,0.7521607279777527,0.7699158003141692,0.57,0.528098098098098
4380ecd2,3,2,0.4291810989379883,0.4835820270849539,0.71,0.6754754754754767
727ecd2b,3,2,0.680246889591217,0.702615611068718,0.57,0.5502002002001984
a2982c68,3,2,0.3937634527683258,0.48346792941575534,0.79,0.669149149149151
8ca0dd39,3,2,0.5850324034690857,0.6480533669780086,0.57,0.5953853853853854
5e1e2674,3,2,0.701133131980896,0.53804028612954,0.52,0.6388688688688691
9a92b707,3,2,0.48599007725715637,0.5357786155081129,0.74,0.6512212212212224
5576f74e,3,2,0.6932583451271057,0.5897936734470639,0.56,0.627537537537538
7da4be00,3,2,0.7502668499946594,0.7043892778791823,0.49,0.5675375375375381
e608facf,3,2,0.7944158911705017,0.8283025793007783,0.46,0.5019219219219219
73e9201a,3,2,0.36472779512405396,0.40565623875494833,0.68,0.7134834834834823
0764d59a,3,2,0.4518575668334961,0.5203514112545563,0.65,0.6398398398398392
fa0d1f48,3,2,0.744614839553833,0.8456160868849005,0.44,0.4935635635635638
e4196c15,3,2,0.7095751762390137,0.6241748998234341,0.49,0.5952152152152147
9288bc14,3,2,0.5720046162605286,0.4972837276167578,0.55,0.6711711711711714
e0a7012a,3,2,0.5799710154533386,0.6298716666700842,0.7,0.5975475475475471
8ab5bcd5,3,2,0.5468272566795349,0.559835664264194,0.62,0.6250350350350353
9dc93207,3,2,0.7568302154541016,0.7767154321417555,0.52,0.5298398398398386
6ffac82a,3,2,0.6807637214660645,0.6023973879871426,0.54,0.6101501501501513
7a769645,3,2,0.6531241536140442,0.663275530507734,0.6,0.5712412412412414
22bced3d,3,2,0.3628631830215454,0.46876192424032426,0.72,0.6687487487487491
3ce10af9,3,2,0.6453134417533875,0.6633022693065075,0.51,0.5906406406406413
